"naam","omschrijving","categorie","gm","id"
"blikopener","blikopener","3","Nee","2775"
"blinddoek","blinddoek","3","Nee","2776"
"blokpuzzel","blokpuzzel","9","Nee","2778"
"boerengolfset","boerengolfset","9","Nee","2779"
"borrel glaasje","borrel glaasje","3","Nee","2780"
"bouten","bouten","10","Nee","2781"
"bouwhelmen","bouwhelmen","3","Nee","2782"
"bouwlamp","bouwlamp","3","Nee","2783"
"brancard","brancard","3","Nee","2784"
"camouflage netten","camouflage netten","1","Nee","2786"
"casinospellen","casinospelen","9","Nee","2787"
"cd speler","cd speler","3","Nee","2789"
"clownskop","clownskop","9","Nee","2790"
"compressor","compressor","3","Nee","2791"
"cut bord","cut bord","3","Nee","2792"
"damspel groot","damspel groot","9","Nee","2793"
"decorplaat","decorplaat","3","Nee","2794"
"deur","deur","1","Nee","2795"
"diabolo","diabolo","9","Nee","2796"
"dienblad","dienblad","3","Nee","2797"
"dieren zenuwspel","dieren zenuwspel","9","Nee","2798"
"dobbelstenen groot","dobbelstenen groot","9","Nee","2799"
"dobbelstenen klein","dobbelstenen klein","9","Nee","2800"
"dozen karton","dozen karton","10","Nee","2802"
"dozen puzzle","dozen puzzle","10","Nee","2803"
"draagbare stoel","draagbare stoel","9","Nee","2804"
"drempel rvs","drempel rvs","3","Nee","2805"
"dweil","dweil","10","Nee","2806"
"EHBO doos","EHBO doos","3","Nee","2808"
"elastiek touw","elastiek touw","10","Nee","2809"
"elastiekjes","elastiekjes","10","Nee","2810"
"emmer normaal","emmer normaal","3","Nee","2811"
"enveloppen","enveloppen","10","Nee","2812"
"kussenmepspel (luchtkussen)","evenwichtsbalk (luchtkussen)","9","Ja","2814"
"fietsgroepsbordjes","fietsgroepsbordjes","1","Nee","2815"
"fietspomp","fietspomp","3","Nee","2816"
"fles plastic","fles plastic","3","Nee","2817"
"fluitje","fluitje","3","Nee","2818"
"frisbee","frisbee","9","Nee","2819"
"garenofwol","garenofwol","10","Nee","2820"
"gatenbal","gatenbal","9","Nee","2821"
"gatenbiljart","gatenbiljart","9","Nee","2822"
"gatenkaasspel","gatenkaasspel","9","Nee","2823"
"geluidsset","geluidsset","4","Nee","2824"
"geluidsset auto mobiel","geluidsset auto mobiel","4","Nee","2825"
"gereedsschapskist","gereedsschapskist","3","Nee","2826"
"gezelschapsspelen","gezelschapsspelen","9","Nee","2827"
"glas bier","glas bier","10","Nee","2828"
"glas borrel","glas borrel","10","Nee","2829"
"glijzeil","glijzeil","9","Nee","2830"
"golfplaat","golfplaat","3","Nee","2831"
"gordijn","gordijn","10","Nee","2832"
"goud blokje","goud blokje","3","Nee","2833"
"goudklompje","goudklompje","3","Nee","2834"
"groente nep","groente nep","3","Nee","2835"
"groepsbord COS","groepsbord COS","3","Nee","2836"
"groepsbordje","groepsbordje","3","Nee","2837"
"groepszak","groepszak","3","Nee","2838"
"grondboor","grondboor","3","Nee","2839"
