"naam","omschrijving","categorie","gm","id"
"hooibalen",,"9","nee","3260"
"pennen",,"3","nee","3261"
"watjes",,"1","nee","3262"
"nagellak",,"1","nee","3263"
"Spooktochtspullen",,"7","nee","3264"
"touw",,"3","nee","3265"
"Tekening W-Plein",,"1","nee","3266"
"Podium (5x2.5x1)",,"1","ja","3267"
"Poort constructie",,"1","ja","3268"
"Podium (5x5x0.5)",,"1","ja","3269"
"Vouwladder",,"3","nee","3270"
"Steekschop",,"3","nee","3271"
"gele vlaggetjes",,"3","nee","3272"
"Zomerspelen vlag groot",,"3","nee","3273"
"Cos krat",,"1","nee","3274"
"waterpas",,"3","nee","3275"
"Persspullen",,"1","nee","3276"
"Calamiteitenplannen",,"1","nee","3277"
"Hesjes pers",,"0","nee","3278"
"Merchandise",,"0","nee","3280"
"Kwart rondjes (geel-zwart)",,"0","ja","3282"
"Podiumplanken + bevestiging 1x1m",,"0","nee","3283"
"Fotodoeken",,"0","nee","3284"
"Poortdeur doeken",,"0","nee","3285"
"afrokdoek",,"1","nee","3286"
"Zomerspelen fakkel",,"1","nee","3287"
"Rookmachine groot",,"4","nee","3289"
"stroomaansluiting sleutel",,"1","nee","3290"
"stekkers gemeente kast (marktstekkers)",,"1","nee","3291"
"krachtkabel + paddenstoel",,"1","Ja","3293"
"Geluid (groot) + draadloos mic",,"4","nee","3294"
"stroomhaspel 100m",,"1","nee","3295"
"muziek",,"4","nee","3296"
"schroeftol",,"1","nee","3297"
"parkeerverbod bord",,"1","nee","3298"
"bord fietsenstalling",,"1","nee","3299"
"bord pers/EHBO",,"1","nee","3300"
"verbodbord fietstenstalling",,"1","nee","3301"
"Tekening Bergen",,"0","nee","3302"
"Materiaalboeren kistje",,"0","nee","3303"
"OW-podium",,"0","nee","3304"
"Dranghekkenkar (leeg)",,"0","ja","3305"
"papierprikkers",,"0","nee","3306"
"Boomstam",,"0","nee","3307"
"Ballonnen /afrokdoeken / gele vlaggetjes / punaises e.d.",,"0","nee","3308"
"Krat frisdrank",,"0","nee","3309"
"Sleutel scouting Sintjozef",,"0","nee","3310"
"Kampvuurpaal touw",,"0","nee","3311"
"Zomerspelen vlag",,"1","nee","3312"
"Medailles",,"10","nee","3313"
"Zakjes/ stickers + paar pennen",,"1","nee","3314"
"portofoon",,"4","nee","3315"
"Lichtmast (kar)",,"0","nee","3316"
"Doosje stoppen",,"0","nee","3317"
"parren spots",,"0","nee","3318"
"Stookhout",,"0","nee","3320"
"Balk met doek en peut (stookstok)",,"0","nee","3322"
"Kampvuurvlag",,"0","nee","3323"
"Peut",,"0","nee","3324"
"Stook-handschoenen",,"0","nee","3325"
"Decorstukken",,"0","nee","3326"
"Bord: â€˜Alleen voor kinderenâ€™",,"0","nee","3327"
"Borden huisregels",,"0","nee","3328"
"Borden: Pers / stookhout / EHBO",,"0","nee","3329"
"Benodigdheden invalide vak (bordjes, grondplaten)",,"0","nee","3330"
"Kratje bier",,"0","nee","3331"
"Partytent klein",,"0","nee","3332"
"reuzeballonnen",,"0","nee","3333"
"skydancer",,"0","nee","3335"
"55 jubileum doeken",,"0","nee","3336"
"bankstel",,"0","nee","3338"
"museum paaltje",,"0","nee","3339"
"Poster",,"1","nee","3342"
"verhaal",,"3","nee","3343"
"Koekenpan",,"5","nee","3345"
"Pannenkoeken",,"2","nee","3346"
"Luiers (groot)",,"5","nee","3347"
"Vliegers",,"9","nee","3348"
"Petjes",,"1","nee","3349"
"Ronde haakjes",,"1","nee","3351"
"Tandenborstels",,"1","nee","3352"
"Oude kleding",,"1","nee","3355"
"Krukje",,"3","nee","3356"
"Bierviltjes",,"8","nee","3357"
"Verfspuitbus goud",,"10","nee","3358"
"Riem gatenmaker",,"1","nee","3359"
"Scharen",,"1","nee","3360"
"Schoenendoos",,"1","nee","3364"
"Jongleerbal",,"9","nee","3365"
"Plantenspuit",,"1","nee","3366"
"Pittenzak",,"9","nee","3367"
"Afvalsorteerbordjes",,"6","nee","3372"
"Mijnenveegspel",,"6","nee","3373"
"Quiz-vragen",,"6","nee","3374"
"Postbus",,"6","nee","3375"
"Groepskaarten",,"6","nee","3376"
"Paraplu",,"8","nee","3378"
"Zwart doek",,"8","nee","3379"
"monitor",,"4","nee","3381"
"boeken",,"3","nee","3382"
"Smarties",,"2","nee","3383"
"gereedschap",,"3","nee","3384"
"Scherm",,"3","nee","3385"
"kruisje rondje klein","kruisje rondje groot","0","nee","3386"
"Ballenbak luchtkussen",,"9","ja","3387"
"springslurf",,"9","nee","3388"
"Haarelastiekjes",,"1","nee","3390"
"kam",,"1","nee","3393"
"veertjes",,"1","nee","3394"
"Computer onderdelen",,"8","nee","3395"
"Elektriciteitsdraden",,"1","nee","3396"
"Koptelefoon",,"8","nee","3397"
"Lijmklem (knijper)",,"1","nee","3398"
"Silent disco",,"4","nee","3399"
"kraam",,"3","Ja","3400"
"Speaker",,"4","nee","3401"
"Blower springkussen",,"1","nee","3403"
"Visnet",,"9","nee","3404"
"Verrekijker",,"1","nee","3405"
"projectie scherm",,"4","nee","3406"
"loopbroek",,"9","nee","3407"
"touwladder",,"9","nee","3408"
"waterflesjes",,"2","nee","3409"
"hapjes",,"2","nee","3410"
"Ijsjes",,"2","nee","3412"
"Fietsbanden",,"9","nee","3413"
"Kapiteinspet",,"8","nee","3419"
"Pruik",,"8","nee","3420"
"velgen",,"6","nee","3422"
"auto",,"0","nee","3423"
"schroevendraaier",,"3","nee","3424"
"haakse hoek",,"0","nee","3425"
"overall",,"1","nee","3426"
"zeem",,"6","nee","3427"
"oorbeschermer",,"6","nee","3428"
"oude apparatuur",,"0","nee","3429"
"Twister Groot",,"9","nee","3430"
"lessenaar",,"8","nee","3431"
"leren jack",,"0","nee","3432"
"zonnebril",,"0","nee","3433"
"motorhelm",,"0","nee","3434"
"Poncho",,"10","nee","3435"
"zomerspelen boek",,"0","nee","3437"
"Ontbijt",,"2","nee","3438"
"Plastic bord",,"2","nee","3439"
"Toiletpapier",,"10","nee","3440"
"Frame doeken poort",,"1","ja","3441"
"Doeken voor frame poort",,"1","nee","3442"
"Spanband Groot",,"3","nee","3443"
"Theaterdoek",,"1","nee","3444"
"Plaatjes (gelamineerd)",,"10","nee","3446"
"Zonnebrand",,"5","nee","3447"
"Sandalen",,"3","nee","3448"
"Vergrootglas",,"3","nee","3449"
"Opblaas taart",,"8","nee","3451"
"wierook",,"8","nee","3452"
"Glazen bak",,"3","nee","3453"
"Gekleurd zand",,"1","nee","3454"
"Popcornmachine",,"5","nee","3455"
"Papieren feesthoedjes",,"10","nee","3456"
"Silent disco koptelefoons",,"9","nee","3458"
"RGB LED par",,"4","nee","3459"
"Nepplanten",,"8","nee","3460"
"Plastictas",,"10","nee","3461"
"Verzamelitem",,"1","nee","3462"
"Kippengaas",,"10","nee","3463"
"Mini-geluidsbox",,"4","nee","3464"
"Trommel",,"9","nee","3465"
"Fluit",,"9","nee","3466"
"Toeter",,"9","nee","3467"
"Klapperhandjes",,"9","nee","3468"
"Glowsticks",,"3","nee","3469"
"Zwemband",,"9","nee","3470"
"Dozenpuzzel",,"0","ja","3471"
"Memorie",,"0","nee","3472"
"Puzzel waarop een aanwijzing staat",,"0","nee","3473"
"Tetris spel",,"9","nee","3474"
"Kartonnen sterren",,"0","nee","3475"
"Poepschep",,"0","nee","3476"
"Kartonnen twistermat",,"0","nee","3477"
"Gasbrander",,"7","nee","3478"
"Schepijs",,"2","nee","3479"
"Broodmes",,"2","nee","3480"
"Curry fles",,"2","nee","3481"
"Plattegrond",,"9","nee","3482"
"Mobiele geluidsset",,"4","nee","3483"
"Korfbalpaal",,"9","nee","3484"
"Banaan",,"2","nee","3485"
"Aardbeien",,"2","nee","3486"
"Peer",,"2","nee","3487"
"Gekleurde linten voor versieringen",,"0","nee","3488"
"Cadeaupapier",,"0","nee","3489"
"Bloempotten",,"8","nee","3490"
"Melkkoe",,"9","nee","3491"
"Parasolletjes",,"5","nee","3492"
"pallets",,"0","ja","3493"
"tie wraps",,"0","nee","3494"
"Rol stroomdraad",,"10","nee","3495"
"Hamertjetik",,"9","nee","3496"
"Kniptang",,"3","nee","3497"
"Leugendetector van giebelen",,"9","nee","3498"
"Vergiet",,"3","nee","3499"
"Statief",,"3","nee","3500"
"Magnetron",,"3","nee","3501"
"Appelsap",,"2","nee","3502"
"Zout",,"2","nee","3503"
"Basilicumolie",,"2","nee","3504"
"Heksenhoed",,"8","nee","3505"
"Glazenbol",,"8","nee","3506"
"Taken en bladeren",,"6","nee","3507"
"Kerstversiering",,"1","nee","3508"
"Gember",,"2","nee","3509"
"Verband",,"6","nee","3510"
"Aanhangwagen klein",,"6","nee","3511"
"houtblok/sfeerhaard",,"8","nee","3512"
"Kaneel",,"2","nee","3513"
"Laboratorium glaswerk",,"8","nee","3514"
"slagbal plankjes",,"9","nee","3515"
"voetstukken bouwhek",,"1","ja","3516"
"ponsjes",,"9","nee","3517"
"lintjes",,"9","nee","3518"
"Bakfiets",,"1","nee","3519"
"Kruk",,"1","nee","3520"
"Flexibelebuis",,"1","nee","3521"
"springslurf",,"9","nee","3522"
"Schilderijlijst",,"8","nee","3523"
"pomp elektrisch (springslurven)",,"3","nee","3524"
"Luchtslurf",,"9","nee","3525"
"Gele ranja",,"2","nee","3526"
"Groene ranja",,"2","nee","3527"
"Rode ranja",,"2","nee","3528"
"Oranje fietsvlag",,"0","nee","3529"
"stokbrood",,"2","nee","3530"
"kaasschaaf",,"3","nee","3531"
"Maillot",,"10","nee","3532"
"Dubbelzijdig Klittenband",,"10","nee","3533"
"Tyrap",,"10","nee","3534"
"Jonge kaas",,"2","nee","3535"
"Oude kaas",,"2","nee","3536"
"Brie",,"2","nee","3537"
"Franse kaas",,"2","nee","3538"
"Croquet-poortjes",,"9","nee","3539"
"Croquet sticks",,"9","nee","3540"
"Croquet bal",,"9","nee","3541"
"Zwemnoodle",,"9","nee","3542"
"golfclubs",,"9","nee","3543"
"Autoband incl velg",,"6","nee","3544"
"moersleutel",,"6","nee","3545"
"Calamiteitentas",,"3","nee","3546"
"Handafdrukken (papier)",,"10","nee","3547"
"nooduitgang banners",,"1","nee","3548"
"Huisregel banners",,"1","nee","3549"
"Ingang voor kinderen banners",,"0","nee","3550"
"Drank",,"2","nee","3551"
"Traanplaat",,"5","ja","3552"
"Koffie/thee en toebehoren",,"2","nee","3553"
"Shirt",,"3","nee","3554"
"Krat muntenbak/muntentellers",,"3","nee","3555"
"Wisselgeld",,"6","nee","3556"
"Voorzetbar",,"3","ja","3557"
"Polsbandjes",,"3","nee","3558"
"Impregneermiddel",,"3","nee","3559"
"Boerentafel",,"5","ja","3560"
"Tapijttegel",,"9","nee","3561"
"Twister klein",,"9","nee","3562"
"Kruiptunnel opblaasbaar",,"9","nee","3563"
"Logo",,"8","nee","3564"
"Stelling",,"8","nee","3565"
"boodschappen",,"8","nee","3566"
"Telefoon",,"8","nee","3567"
"Handspiegel",,"9","nee","3568"
"Aanhanger-net",,"3","nee","3569"
"Winkelwagen",,"9","nee","3570"
"rolcontainer",,"8","nee","3571"
"Laser",,"4","nee","3572"
"Eierdoos",,"2","nee","3573"
"Foto's klein",,"1","nee","3574"
"Afwasborstel",,"1","nee","3575"
"Prikpennen en matjes",,"1","nee","3576"
"Zandkasteelemmertje",,"1","nee","3577"
"Limbostok",,"9","nee","3578"
"Mastermind (gezelschapsspel)",,"9","nee","3579"
"Markeerstiften",,"1","nee","3580"
"opblaastunnels",,"9","ja","3581"
"sponsbal",,"9","nee","3582"
"bakstenen",,"8","nee","3583"
"schoonmaakkratje",,"1","nee","3584"
"Kartonnen bordjes",,"10","nee","3585"
"Flippers",,"9","nee","3586"
"Lege flessen",,"9","nee","3587"
"Toetsenbord",,"10","nee","3588"
"Zoemer",,"4","nee","3589"
"Hoofddeksel",,"1","nee","3590"
"Mollenluchtspel",,"9","ja","3591"
"Purschuim",,"3","nee","3592"
"Purschuim",,"3","nee","3593"
"Plastic regenpijp",,"9","nee","3594"
"Afvalprikkers",,"9","nee","3595"
"Opblaas walvis",,"9","nee","3596"
"Opblaas krokodil",,"9","nee","3597"
"Plastic scheppen",,"8","nee","3598"
"ijskar",,"2","nee","3599"
"Knal apparaat",,"1","nee","3600"
"Witte masker",,"8","nee","3601"
"Mos",,"8","nee","3602"
"kunstgras",,"0","nee","3603"
"Kaarsen",,"8","nee","3604"
"Dier",,"0","nee","3605"
"Appelstroop",,"2","nee","3606"
"Memoblaadjes",,"1","nee","3607"
